geometry,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii
POINT (172.5634444333 -43.5098322741),169885,AIMS,159804,7,Grahams Road,"7 Grahams Road, Ilam, Christchurch",Christchurch City,,,,,,7,,,,Grahams,Road,,,,Ilam,Christchurch,Thoroughfare,Current,172.56344443,-43.50983223,Grahams,,,Ilam,Christchurch,Grahams Road,"7 Grahams Road, Ilam, Christchurch"
POINT (172.5637519167 -43.5101222908),169912,AIMS,159823,8,Grahams Road,"8 Grahams Road, Ilam, Christchurch",Christchurch City,,,,,,8,,,,Grahams,Road,,,,Ilam,Christchurch,Thoroughfare,Current,172.56375192,-43.51012225,Grahams,,,Ilam,Christchurch,Grahams Road,"8 Grahams Road, Ilam, Christchurch"
POINT (172.5639117 -43.5242739741),170488,AIMS,2737922,39,Corfe Street,"39 Corfe Street, Ilam, Christchurch",Christchurch City,,,,,,39,,,,Corfe,Street,,,,Ilam,Christchurch,Thoroughfare,Current,172.5639117,-43.52427393,Corfe,,,Ilam,Christchurch,Corfe Street,"39 Corfe Street, Ilam, Christchurch"
POINT (172.56394095 -43.5273119075),171542,AIMS,1565145,7A,Worthy Street,"7A Worthy Street, Ilam, Christchurch",Christchurch City,,,,,,7,A,,,Worthy,Street,,,,Ilam,Christchurch,Thoroughfare,Current,172.56394095,-43.52731187,Worthy,,,Ilam,Christchurch,Worthy Street,"7A Worthy Street, Ilam, Christchurch"
POINT (172.5632314833 -43.5282054408),171633,AIMS,161282,9,Hare Street,"9 Hare Street, Ilam, Christchurch",Christchurch City,,,,,,9,,,,Hare,Street,,,,Ilam,Christchurch,Thoroughfare,Current,172.56323148,-43.5282054,Hare,,,Ilam,Christchurch,Hare Street,"9 Hare Street, Ilam, Christchurch"
POINT (172.5655496667 -43.5216677741),175990,AIMS,165276,3,Dalrye Place,"3 Dalrye Place, Ilam, Christchurch",Christchurch City,,,,,,3,,,,Dalrye,Place,,,,Ilam,Christchurch,Thoroughfare,Current,172.56554967,-43.52166773,Dalrye,,,Ilam,Christchurch,Dalrye Place,"3 Dalrye Place, Ilam, Christchurch"
POINT (172.5600161167 -43.5285085408),1145473,AIMS,1784120,15/56,Gladson Avenue,"15/56 Gladson Avenue, Sockburn, Christchurch",Christchurch City,,15,,,,56,,,,Gladson,Avenue,,,,Sockburn,Christchurch,Thoroughfare,Current,172.56001612,-43.5285085,Gladson,,,Sockburn,Christchurch,Gladson Avenue,"15/56 Gladson Avenue, Sockburn, Christchurch"
POINT (172.4996234167 -43.5012345908),1525497,AIMS,3172623,106,Guys Road,"106 Guys Road, Yaldhurst, Christchurch",Christchurch City,,,,,,106,,,,Guys,Road,,,,Yaldhurst,Christchurch,Thoroughfare,Current,172.49962342,-43.50123455,Guys,,,Yaldhurst,Christchurch,Guys Road,"106 Guys Road, Yaldhurst, Christchurch"
POINT (177.1070732833 -37.9819677373),1940296,AIMS,6794964,7,William Place,"7 William Place, Ōhope",Whakatane District,,,,,,7,,,,William,Place,,,,Ōhope,Ōhope,Thoroughfare,Current,177.10707328,-37.9819677,William,,,Ohope,Ohope,William Place,"7 William Place, Ohope"
POINT (172.5625020667 -43.5156114408),1564244,AIMS,1356239,8,Ravenna Street,"8 Ravenna Street, Avonhead, Christchurch",Christchurch City,,,,,,8,,,,Ravenna,Street,,,,Avonhead,Christchurch,Thoroughfare,Current,172.56250207,-43.5156114,Ravenna,,,Avonhead,Christchurch,Ravenna Street,"8 Ravenna Street, Avonhead, Christchurch"
POINT (172.5444966333 -43.5417300075),1758795,AIMS,1476201,25,Green Lane,"25 Green Lane, Hornby, Christchurch",Christchurch City,,,,,,25,,,,Green,Lane,,,,Hornby,Christchurch,Thoroughfare,Current,172.54449663,-43.54172997,Green,,,Hornby,Christchurch,Green Lane,"25 Green Lane, Hornby, Christchurch"
POINT (172.5273632667 -43.5447986241),1959058,AIMS,3194953,2/15,Tower Street,"2/15 Tower Street, Hornby, Christchurch",Christchurch City,,2,,,,15,,,,Tower,Street,,,,Hornby,Christchurch,Thoroughfare,Current,172.52736327,-43.54479858,Tower,,,Hornby,Christchurch,Tower Street,"2/15 Tower Street, Hornby, Christchurch"
POINT (172.53075815 -43.5320638575),1959318,AIMS,1558594,8A,Ariki Place,"8A Ariki Place, Hei Hei, Christchurch",Christchurch City,,,,,,8,A,,,Ariki,Place,,,,Hei Hei,Christchurch,Thoroughfare,Current,172.53075815,-43.53206382,Ariki,,,Hei Hei,Christchurch,Ariki Place,"8A Ariki Place, Hei Hei, Christchurch"
POINT (172.538844 -43.5317030408),1979047,AIMS,1890764,2/8,Fiona Place,"2/8 Fiona Place, Hei Hei, Christchurch",Christchurch City,,2,,,,8,,,,Fiona,Place,,,,Hei Hei,Christchurch,Thoroughfare,Current,172.538844,-43.531703,Fiona,,,Hei Hei,Christchurch,Fiona Place,"2/8 Fiona Place, Hei Hei, Christchurch"
POINT (172.5491623446 -43.5330217178),3002917,CADS,2917,99A,Epsom Road,"99A Epsom Road, Sockburn, Christchurch",Christchurch City,,,,,,99,A,,,Epsom,Road,,,,Sockburn,Christchurch,Thoroughfare,Current,172.54916234,-43.53302168,Epsom,,,Sockburn,Christchurch,Epsom Road,"99A Epsom Road, Sockburn, Christchurch"
POINT (172.5283777061 -43.5453361565),3008954,CADS,8954,2/27,Tower Street,"2/27 Tower Street, Hornby, Christchurch",Christchurch City,,2,,,,27,,,,Tower,Street,,,,Hornby,Christchurch,Thoroughfare,Current,172.52837771,-43.54533612,Tower,,,Hornby,Christchurch,Tower Street,"2/27 Tower Street, Hornby, Christchurch"
POINT (172.5325731535 -43.525991331),3012553,CADS,12553,1/4,Mull Place,"1/4 Mull Place, Broomfield, Christchurch",Christchurch City,,1,,,,4,,,,Mull,Place,,,,Broomfield,Christchurch,Thoroughfare,Current,172.53257315,-43.52599129,Mull,,,Broomfield,Christchurch,Mull Place,"1/4 Mull Place, Broomfield, Christchurch"
POINT (172.5766607167 -43.5165108575),182652,AIMS,171235,189,Ilam Road,"189 Ilam Road, Ilam, Christchurch",Christchurch City,,,,,,189,,,,Ilam,Road,,,,Ilam,Christchurch,Thoroughfare,Current,172.57666072,-43.51651082,Ilam,,,Ilam,Christchurch,Ilam Road,"189 Ilam Road, Ilam, Christchurch"
POINT (172.5883523167 -43.5246914908),50940,AIMS,48334,74,Clyde Road,"74 Clyde Road, Ilam, Christchurch",Christchurch City,,,,,,74,,,,Clyde,Road,,,,Ilam,Christchurch,Thoroughfare,Current,172.58835232,-43.52469145,Clyde,,,Ilam,Christchurch,Clyde Road,"74 Clyde Road, Ilam, Christchurch"
POINT (172.5741933333 -43.5133721241),174814,AIMS,164239,11,Hanover Place,"11 Hanover Place, Ilam, Christchurch",Christchurch City,,,,,,11,,,,Hanover,Place,,,,Ilam,Christchurch,Thoroughfare,Current,172.57419333,-43.51337208,Hanover,,,Ilam,Christchurch,Hanover Place,"11 Hanover Place, Ilam, Christchurch"
POINT (172.5697520167 -43.5143933241),175306,AIMS,164672,3,Glenavon Place,"3 Glenavon Place, Ilam, Christchurch",Christchurch City,,,,,,3,,,,Glenavon,Place,,,,Ilam,Christchurch,Thoroughfare,Current,172.56975202,-43.51439328,Glenavon,,,Ilam,Christchurch,Glenavon Place,"3 Glenavon Place, Ilam, Christchurch"
POINT (172.57364795 -43.5326869075),176246,AIMS,165494,12,Hansons Lane,"12 Hansons Lane, Upper Riccarton, Christchurch",Christchurch City,,,,,,12,,,,Hansons,Lane,,,,Upper Riccarton,Christchurch,Thoroughfare,Current,172.57364795,-43.53268687,Hansons,,,Upper Riccarton,Christchurch,Hansons Lane,"12 Hansons Lane, Upper Riccarton, Christchurch"
POINT (172.5716243667 -43.5271975908),176435,AIMS,165645,27,Reading Street,"27 Reading Street, Upper Riccarton, Christchurch",Christchurch City,,,,,,27,,,,Reading,Street,,,,Upper Riccarton,Christchurch,Thoroughfare,Current,172.57162437,-43.52719755,Reading,,,Upper Riccarton,Christchurch,Reading Street,"27 Reading Street, Upper Riccarton, Christchurch"
POINT (172.5791148833 -43.5137555075),182125,AIMS,170795,231,Ilam Road,"231 Ilam Road, Ilam, Christchurch",Christchurch City,,,,,,231,,,,Ilam,Road,,,,Ilam,Christchurch,Thoroughfare,Current,172.57911488,-43.51375547,Ilam,,,Ilam,Christchurch,Ilam Road,"231 Ilam Road, Ilam, Christchurch"
POINT (172.5751405 -43.5263364408),183026,AIMS,3130028,16,Siska Place,"16 Siska Place, Upper Riccarton, Christchurch",Christchurch City,,,,,,16,,,,Siska,Place,,,,Upper Riccarton,Christchurch,Thoroughfare,Current,172.5751405,-43.5263364,Siska,,,Upper Riccarton,Christchurch,Siska Place,"16 Siska Place, Upper Riccarton, Christchurch"
POINT (172.6210550833 -43.5631469741),214557,AIMS,198245,3,Nina Lane,"3 Nina Lane, Somerfield, Christchurch",Christchurch City,,,,,,3,,,,Nina,Lane,,,,Somerfield,Christchurch,Thoroughfare,Current,172.62105508,-43.56314693,Nina,,,Somerfield,Christchurch,Nina Lane,"3 Nina Lane, Somerfield, Christchurch"
POINT (172.5753378333 -43.5333158075),183047,AIMS,171575,18,Tiora Place,"18 Tiora Place, Upper Riccarton, Christchurch",Christchurch City,,,,,,18,,,,Tiora,Place,,,,Upper Riccarton,Christchurch,Thoroughfare,Current,172.57533783,-43.53331577,Tiora,,,Upper Riccarton,Christchurch,Tiora Place,"18 Tiora Place, Upper Riccarton, Christchurch"
POINT (172.5881217167 -43.5222201075),190805,AIMS,3147984,9,Creyke Road,"9 Creyke Road, Ilam, Christchurch",Christchurch City,,,,,,9,,,,Creyke,Road,,,,Ilam,Christchurch,Thoroughfare,Current,172.58812172,-43.52222007,Creyke,,,Ilam,Christchurch,Creyke Road,"9 Creyke Road, Ilam, Christchurch"
POINT (172.5875266333 -43.5332803908),190955,AIMS,2782822,15,Euston Street,"15 Euston Street, Riccarton, Christchurch",Christchurch City,,,,,,15,,,,Euston,Street,,,,Riccarton,Christchurch,Thoroughfare,Current,172.58752663,-43.53328035,Euston,,,Riccarton,Christchurch,Euston Street,"15 Euston Street, Riccarton, Christchurch"
POINT (172.58923045 -43.5645139908),192413,AIMS,179537,3,Alpers Place,"3 Alpers Place, Hoon Hay, Christchurch",Christchurch City,,,,,,3,,,,Alpers,Place,,,,Hoon Hay,Christchurch,Thoroughfare,Current,172.58923045,-43.56451395,Alpers,,,Hoon Hay,Christchurch,Alpers Place,"3 Alpers Place, Hoon Hay, Christchurch"
POINT (172.6010545167 -43.5193058741),198001,AIMS,184334,1,Idris Road,"1 Idris Road, Fendalton, Christchurch",Christchurch City,,,,,,1,,,,Idris,Road,,,,Fendalton,Christchurch,Thoroughfare,Current,172.60105452,-43.51930583,Idris,,,Fendalton,Christchurch,Idris Road,"1 Idris Road, Fendalton, Christchurch"
POINT (172.6010590667 -43.5190484408),198167,AIMS,184459,3,Idris Road,"3 Idris Road, Fendalton, Christchurch",Christchurch City,,,,,,3,,,,Idris,Road,,,,Fendalton,Christchurch,Thoroughfare,Current,172.60105907,-43.5190484,Idris,,,Fendalton,Christchurch,Idris Road,"3 Idris Road, Fendalton, Christchurch"
POINT (172.5993623333 -43.5280905741),198513,AIMS,184722,13,Rimu Street,"13 Rimu Street, Riccarton, Christchurch",Christchurch City,,,,,,13,,,,Rimu,Street,,,,Riccarton,Christchurch,Thoroughfare,Current,172.59936233,-43.52809053,Rimu,,,Riccarton,Christchurch,Rimu Street,"13 Rimu Street, Riccarton, Christchurch"
POINT (172.6003062 -43.5280527575),198544,AIMS,184736,14,Rata Street,"14 Rata Street, Riccarton, Christchurch",Christchurch City,,,,,,14,,,,Rata,Street,,,,Riccarton,Christchurch,Thoroughfare,Current,172.6003062,-43.52805272,Rata,,,Riccarton,Christchurch,Rata Street,"14 Rata Street, Riccarton, Christchurch"
POINT (172.71419115 -43.6020461908),274459,AIMS,245312,6,Dudley Road,"6 Dudley Road, Lyttelton",Christchurch City,,,,,,6,,,,Dudley,Road,,,,Lyttelton,Lyttelton,Thoroughfare,Current,172.71419115,-43.60204615,Dudley,,,Lyttelton,Lyttelton,Dudley Road,"6 Dudley Road, Lyttelton"
POINT (172.7097067333 -43.6003289408),274460,AIMS,245313,6,Dalleys Lane,"6 Dalleys Lane, Lyttelton",Christchurch City,,,,,,6,,,,Dalleys,Lane,,,,Lyttelton,Lyttelton,Thoroughfare,Current,172.70970673,-43.6003289,Dalleys,,,Lyttelton,Lyttelton,Dalleys Lane,"6 Dalleys Lane, Lyttelton"
POINT (172.6019618167 -43.5585795241),200754,AIMS,186452,85,Hoon Hay Road,"85 Hoon Hay Road, Hoon Hay, Christchurch",Christchurch City,,,,,,85,,,,Hoon Hay,Road,,,,Hoon Hay,Christchurch,Thoroughfare,Current,172.60196182,-43.55857948,Hoon Hay,,,Hoon Hay,Christchurch,Hoon Hay Road,"85 Hoon Hay Road, Hoon Hay, Christchurch"
POINT (172.5988261333 -43.5665505408),200931,AIMS,186601,4,Victors Road,"4 Victors Road, Hoon Hay, Christchurch",Christchurch City,,,,,,4,,,,Victors,Road,,,,Hoon Hay,Christchurch,Thoroughfare,Current,172.59882613,-43.5665505,Victors,,,Hoon Hay,Christchurch,Victors Road,"4 Victors Road, Hoon Hay, Christchurch"
POINT (172.6030985667 -43.5801449408),201132,AIMS,186794,28,Sedgwick Way,"28 Sedgwick Way, Westmorland, Christchurch",Christchurch City,,,,,,28,,,,Sedgwick,Way,,,,Westmorland,Christchurch,Thoroughfare,Current,172.60309857,-43.5801449,Sedgwick,,,Westmorland,Christchurch,Sedgwick Way,"28 Sedgwick Way, Westmorland, Christchurch"
POINT (172.6071689 -43.5118577741),203995,AIMS,189340,11,Lloyd Street,"11 Lloyd Street, Strowan, Christchurch",Christchurch City,,,,,,11,,,,Lloyd,Street,,,,Strowan,Christchurch,Thoroughfare,Current,172.6071689,-43.51185773,Lloyd,,,Strowan,Christchurch,Lloyd Street,"11 Lloyd Street, Strowan, Christchurch"
POINT (172.6120034833 -43.5237655741),205054,AIMS,190232,6,Wood Lane,"6 Wood Lane, Fendalton, Christchurch",Christchurch City,,,,,,6,,,,Wood,Lane,,,,Fendalton,Christchurch,Thoroughfare,Current,172.61200348,-43.52376553,Wood,,,Fendalton,Christchurch,Wood Lane,"6 Wood Lane, Fendalton, Christchurch"
POINT (172.72251805 -43.5965982408),278870,AIMS,248820,1,Somes Road,"1 Somes Road, Lyttelton",Christchurch City,,,,,,1,,,,Somes,Road,,,,Lyttelton,Lyttelton,Thoroughfare,Current,172.72251805,-43.5965982,Somes,,,Lyttelton,Lyttelton,Somes Road,"1 Somes Road, Lyttelton"
POINT (172.61205915 -43.5342376575),205517,AIMS,3131875,75,Deans Avenue,"75 Deans Avenue, Riccarton, Christchurch",Christchurch City,,,,,,75,,,,Deans,Avenue,,,,Riccarton,Christchurch,Thoroughfare,Current,172.61205915,-43.53423762,Deans,,,Riccarton,Christchurch,Deans Avenue,"75 Deans Avenue, Riccarton, Christchurch"
POINT (172.7224857833 -43.5963657908),278989,AIMS,248932,2,Somes Road,"2 Somes Road, Lyttelton",Christchurch City,,,,,,2,,,,Somes,Road,,,,Lyttelton,Lyttelton,Thoroughfare,Current,172.72248578,-43.59636575,Somes,,,Lyttelton,Lyttelton,Somes Road,"2 Somes Road, Lyttelton"
POINT (172.7227793667 -43.6044610741),279077,AIMS,1572642,3A,Norwich Quay,"3A Norwich Quay, Lyttelton",Christchurch City,,,,,,3,A,,,Norwich,Quay,,,,Lyttelton,Lyttelton,Thoroughfare,Current,172.72277937,-43.60446103,Norwich,,,Lyttelton,Lyttelton,Norwich Quay,"3A Norwich Quay, Lyttelton"
POINT (172.609533 -43.5616835075),206760,AIMS,1568177,10A,Muirson Avenue,"10A Muirson Avenue, Hoon Hay, Christchurch",Christchurch City,,,,,,10,A,,,Muirson,Avenue,,,,Hoon Hay,Christchurch,Thoroughfare,Current,172.609533,-43.56168347,Muirson,,,Hoon Hay,Christchurch,Muirson Avenue,"10A Muirson Avenue, Hoon Hay, Christchurch"
POINT (172.6110201167 -43.5572877075),207547,AIMS,192270,7,Tulip Lane,"7 Tulip Lane, Spreydon, Christchurch",Christchurch City,,,,,,7,,,,Tulip,Lane,,,,Spreydon,Christchurch,Thoroughfare,Current,172.61102012,-43.55728767,Tulip,,,Spreydon,Christchurch,Tulip Lane,"7 Tulip Lane, Spreydon, Christchurch"
POINT (172.7078024 -43.6010188241),567628,AIMS,1593711,25C,Walkers Road,"25C Walkers Road, Lyttelton",Christchurch City,,,,,,25,C,,,Walkers,Road,,,,Lyttelton,Lyttelton,Thoroughfare,Current,172.7078024,-43.60101878,Walkers,,,Lyttelton,Lyttelton,Walkers Road,"25C Walkers Road, Lyttelton"
POINT (172.6092506333 -43.5673670241),208057,AIMS,192713,39,Rydal Street,"39 Rydal Street, Hoon Hay, Christchurch",Christchurch City,,,,,,39,,,,Rydal,Street,,,,Hoon Hay,Christchurch,Thoroughfare,Current,172.60925063,-43.56736698,Rydal,,,Hoon Hay,Christchurch,Rydal Street,"39 Rydal Street, Hoon Hay, Christchurch"
POINT (172.6220241167 -43.5416667075),213073,AIMS,196958,446,Selwyn Street,"446 Selwyn Street, Addington, Christchurch",Christchurch City,,,,,,446,,,,Selwyn,Street,,,,Addington,Christchurch,Thoroughfare,Current,172.62202412,-43.54166667,Selwyn,,,Addington,Christchurch,Selwyn Street,"446 Selwyn Street, Addington, Christchurch"
POINT (172.6197663833 -43.5441184075),213186,AIMS,2980588,93,Poulson Street,"93 Poulson Street, Addington, Christchurch",Christchurch City,,,,,,93,,,,Poulson,Street,,,,Addington,Christchurch,Thoroughfare,Current,172.61976638,-43.54411837,Poulson,,,Addington,Christchurch,Poulson Street,"93 Poulson Street, Addington, Christchurch"
POINT (172.62143705 -43.5607322908),214105,AIMS,197852,110,Roberta Drive,"110 Roberta Drive, Somerfield, Christchurch",Christchurch City,,,,,,110,,,,Roberta,Drive,,,,Somerfield,Christchurch,Thoroughfare,Current,172.62143705,-43.56073225,Roberta,,,Somerfield,Christchurch,Roberta Drive,"110 Roberta Drive, Somerfield, Christchurch"
POINT (172.6227019333 -43.5648087908),214223,AIMS,197955,156,Rose Street,"156 Rose Street, Somerfield, Christchurch",Christchurch City,,,,,,156,,,,Rose,Street,,,,Somerfield,Christchurch,Thoroughfare,Current,172.62270193,-43.56480875,Rose,,,Somerfield,Christchurch,Rose Street,"156 Rose Street, Somerfield, Christchurch"
POINT (172.6238648167 -43.5641537408),214267,AIMS,197992,176,Rose Street,"176 Rose Street, Somerfield, Christchurch",Christchurch City,,,,,,176,,,,Rose,Street,,,,Somerfield,Christchurch,Thoroughfare,Current,172.62386482,-43.5641537,Rose,,,Somerfield,Christchurch,Rose Street,"176 Rose Street, Somerfield, Christchurch"
POINT (172.62321245 -43.5575374408),214413,AIMS,198117,25,Roker Street,"25 Roker Street, Somerfield, Christchurch",Christchurch City,,,,,,25,,,,Roker,Street,,,,Somerfield,Christchurch,Thoroughfare,Current,172.62321245,-43.5575374,Roker,,,Somerfield,Christchurch,Roker Street,"25 Roker Street, Somerfield, Christchurch"
POINT (172.62365015 -43.5572890241),214487,AIMS,198182,31,Roker Street,"31 Roker Street, Somerfield, Christchurch",Christchurch City,,,,,,31,,,,Roker,Street,,,,Somerfield,Christchurch,Thoroughfare,Current,172.62365015,-43.55728898,Roker,,,Somerfield,Christchurch,Roker Street,"31 Roker Street, Somerfield, Christchurch"
POINT (172.6183949333 -43.5628271908),214603,AIMS,198282,46,Roberta Drive,"46 Roberta Drive, Somerfield, Christchurch",Christchurch City,,,,,,46,,,,Roberta,Drive,,,,Somerfield,Christchurch,Thoroughfare,Current,172.61839493,-43.56282715,Roberta,,,Somerfield,Christchurch,Roberta Drive,"46 Roberta Drive, Somerfield, Christchurch"
POINT (172.6167367167 -43.5567685575),214885,AIMS,198541,8,Kinver Place,"8 Kinver Place, Spreydon, Christchurch",Christchurch City,,,,,,8,,,,Kinver,Place,,,,Spreydon,Christchurch,Thoroughfare,Current,172.61673672,-43.55676852,Kinver,,,Spreydon,Christchurch,Kinver Place,"8 Kinver Place, Spreydon, Christchurch"
POINT (172.6201349333 -43.5729875241),214958,AIMS,198606,10,Indira Lane,"10 Indira Lane, Cashmere, Christchurch",Christchurch City,,,,,,10,,,,Indira,Lane,,,,Cashmere,Christchurch,Thoroughfare,Current,172.62013493,-43.57298748,Indira,,,Cashmere,Christchurch,Indira Lane,"10 Indira Lane, Cashmere, Christchurch"
POINT (172.6219700167 -43.5746389408),214998,AIMS,198642,12,Delhi Place,"12 Delhi Place, Cashmere, Christchurch",Christchurch City,,,,,,12,,,,Delhi,Place,,,,Cashmere,Christchurch,Thoroughfare,Current,172.62197002,-43.5746389,Delhi,,,Cashmere,Christchurch,Delhi Place,"12 Delhi Place, Cashmere, Christchurch"
POINT (172.6272992667 -43.5569510575),222236,AIMS,204694,5,McCombs Street,"5 McCombs Street, Somerfield, Christchurch",Christchurch City,,,,,,5,,,,McCombs,Street,,,,Somerfield,Christchurch,Thoroughfare,Current,172.62729927,-43.55695102,McCombs,,,Somerfield,Christchurch,McCombs Street,"5 McCombs Street, Somerfield, Christchurch"
POINT (172.6172699333 -43.5148371408),402280,AIMS,357582,70,Office Road,"70 Office Road, Merivale, Christchurch",Christchurch City,,,,,,70,,,,Office,Road,,,,Merivale,Christchurch,Thoroughfare,Current,172.61726993,-43.5148371,Office,,,Merivale,Christchurch,Office Road,"70 Office Road, Merivale, Christchurch"
POINT (172.6018052 -43.5270650741),438402,AIMS,389206,3,Kahu Road,"3 Kahu Road, Riccarton, Christchurch",Christchurch City,,,,,,3,,,,Kahu,Road,,,,Riccarton,Christchurch,Thoroughfare,Current,172.6018052,-43.52706503,Kahu,,,Riccarton,Christchurch,Kahu Road,"3 Kahu Road, Riccarton, Christchurch"
POINT (172.5771274833 -43.5790330241),1014984,AIMS,2763761,8,Cridland Place,"8 Cridland Place, Halswell, Christchurch",Christchurch City,,,,,,8,,,,Cridland,Place,,,,Halswell,Christchurch,Thoroughfare,Current,172.57712748,-43.57903298,Cridland,,,Halswell,Christchurch,Cridland Place,"8 Cridland Place, Halswell, Christchurch"
POINT (172.6130410667 -43.5074542908),1407579,AIMS,1230556,70,Normans Road,"70 Normans Road, Strowan, Christchurch",Christchurch City,,,,,,70,,,,Normans,Road,,,,Strowan,Christchurch,Thoroughfare,Current,172.61304107,-43.50745425,Normans,,,Strowan,Christchurch,Normans Road,"70 Normans Road, Strowan, Christchurch"
POINT (172.6119323833 -43.5240631075),1474884,AIMS,1680624,3B,Wood Lane,"3B Wood Lane, Fendalton, Christchurch",Christchurch City,,,,,,3,B,,,Wood,Lane,,,,Fendalton,Christchurch,Thoroughfare,Current,172.61193238,-43.52406307,Wood,,,Fendalton,Christchurch,Wood Lane,"3B Wood Lane, Fendalton, Christchurch"
POINT (172.6108835 -43.5394641075),1573750,AIMS,1363236,9,Lester Lane,"9 Lester Lane, Addington, Christchurch",Christchurch City,,,,,,9,,,,Lester,Lane,,,,Addington,Christchurch,Thoroughfare,Current,172.6108835,-43.53946407,Lester,,,Addington,Christchurch,Lester Lane,"9 Lester Lane, Addington, Christchurch"
POINT (172.62155975 -43.5662907741),1597588,AIMS,1698952,122B,Rose Street,"122B Rose Street, Somerfield, Christchurch",Christchurch City,,,,,,122,B,,,Rose,Street,,,,Somerfield,Christchurch,Thoroughfare,Current,172.62155975,-43.56629073,Rose,,,Somerfield,Christchurch,Rose Street,"122B Rose Street, Somerfield, Christchurch"
POINT (172.6261416833 -43.5450574241),1677378,AIMS,2980451,67,Burke Street,"67 Burke Street, Addington, Christchurch",Christchurch City,,,,,,67,,,,Burke,Street,,,,Addington,Christchurch,Thoroughfare,Current,172.62614168,-43.54505738,Burke,,,Addington,Christchurch,Burke Street,"67 Burke Street, Addington, Christchurch"
POINT (172.57400505 -43.5644557575),1738403,AIMS,3131997,7,Euphrasie Drive,"7 Euphrasie Drive, Aidanfield, Christchurch",Christchurch City,,,,,,7,,,,Euphrasie,Drive,,,,Aidanfield,Christchurch,Thoroughfare,Current,172.57400505,-43.56445572,Euphrasie,,,Aidanfield,Christchurch,Euphrasie Drive,"7 Euphrasie Drive, Aidanfield, Christchurch"
POINT (172.6118151833 -43.5323895075),1944903,AIMS,3131886,113,Deans Avenue,"113 Deans Avenue, Riccarton, Christchurch",Christchurch City,,,,,,113,,,,Deans,Avenue,,,,Riccarton,Christchurch,Thoroughfare,Current,172.61181518,-43.53238947,Deans,,,Riccarton,Christchurch,Deans Avenue,"113 Deans Avenue, Riccarton, Christchurch"
POINT (172.6036242333 -43.5850769075),1945798,AIMS,3196178,109,Penruddock Rise,"109 Penruddock Rise, Westmorland, Christchurch",Christchurch City,,,,,,109,,,,Penruddock,Rise,,,,Westmorland,Christchurch,Thoroughfare,Current,172.60362423,-43.58507687,Penruddock,,,Westmorland,Christchurch,Penruddock Rise,"109 Penruddock Rise, Westmorland, Christchurch"
POINT (172.5919092333 -43.5084586575),1957468,AIMS,1877617,1/429,Ilam Road,"1/429 Ilam Road, Bryndwr, Christchurch",Christchurch City,,1,,,,429,,,,Ilam,Road,,,,Bryndwr,Christchurch,Thoroughfare,Current,172.59190923,-43.50845862,Ilam,,,Bryndwr,Christchurch,Ilam Road,"1/429 Ilam Road, Bryndwr, Christchurch"
POINT (172.6157691 -43.5169480241),1959143,AIMS,2780549,5/41,Naseby Street,"5/41 Naseby Street, Merivale, Christchurch",Christchurch City,,5,,,,41,,,,Naseby,Street,,,,Merivale,Christchurch,Thoroughfare,Current,172.6157691,-43.51694798,Naseby,,,Merivale,Christchurch,Naseby Street,"5/41 Naseby Street, Merivale, Christchurch"
POINT (172.5715363333 -43.5175314408),1959653,AIMS,1513120,5,Lynfield Avenue,"5 Lynfield Avenue, Ilam, Christchurch",Christchurch City,,,,,,5,,,,Lynfield,Avenue,,,,Ilam,Christchurch,Thoroughfare,Current,172.57153633,-43.5175314,Lynfield,,,Ilam,Christchurch,Lynfield Avenue,"5 Lynfield Avenue, Ilam, Christchurch"
POINT (172.59864145 -43.5111780908),1960336,AIMS,1879773,2/34,Taylors Avenue,"2/34 Taylors Avenue, Bryndwr, Christchurch",Christchurch City,,2,,,,34,,,,Taylors,Avenue,,,,Bryndwr,Christchurch,Thoroughfare,Current,172.59864145,-43.51117805,Taylors,,,Bryndwr,Christchurch,Taylors Avenue,"2/34 Taylors Avenue, Bryndwr, Christchurch"
POINT (172.5915921 -43.5089407408),1963243,AIMS,1752629,394A,Ilam Road,"394A Ilam Road, Bryndwr, Christchurch",Christchurch City,,,,,,394,A,,,Ilam,Road,,,,Bryndwr,Christchurch,Thoroughfare,Current,172.5915921,-43.5089407,Ilam,,,Bryndwr,Christchurch,Ilam Road,"394A Ilam Road, Bryndwr, Christchurch"
POINT (172.5861767333 -43.5167402075),1964541,AIMS,1917008,1/45A,Memorial Avenue,"1/45A Memorial Avenue, Ilam, Christchurch",Christchurch City,,1,,,,45,A,,,Memorial,Avenue,,,,Ilam,Christchurch,Thoroughfare,Current,172.58617673,-43.51674017,Memorial,,,Ilam,Christchurch,Memorial Avenue,"1/45A Memorial Avenue, Ilam, Christchurch"
