geometry,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii
POINT (174.8047972833 -36.8791355694),1158289,AIMS,1022829,24,Ranui Road,"24 Ranui Road, Remuera, Auckland",Auckland,,,,,,24,,,,Ranui,Road,,,,Remuera,Auckland,Thoroughfare,Current,174.80479728,-36.87913553,Ranui,,,Remuera,Auckland,Ranui Road,"24 Ranui Road, Remuera, Auckland"
POINT (174.8036655667 -36.8782016694),1158474,AIMS,1022960,40,Orakei Road,"40 Orakei Road, Remuera, Auckland",Auckland,,,,,,40,,,,Orakei,Road,,,,Remuera,Auckland,Thoroughfare,Current,174.80366557,-36.87820163,Orakei,,,Remuera,Auckland,Orakei Road,"40 Orakei Road, Remuera, Auckland"
POINT (174.7954204333 -36.9028984694),1159878,AIMS,1024040,4,Kawau Road,"4 Kawau Road, Greenlane, Auckland",Auckland,,,,,,4,,,,Kawau,Road,,,,Greenlane,Auckland,Thoroughfare,Current,174.79542043,-36.90289843,Kawau,,,Greenlane,Auckland,Kawau Road,"4 Kawau Road, Greenlane, Auckland"
POINT (174.8033695833 -36.9059545361),1160608,AIMS,1784493,3/65,Rockfield Road,"3/65 Rockfield Road, Penrose, Auckland",Auckland,,3,,,,65,,,,Rockfield,Road,,,,Penrose,Auckland,Thoroughfare,Current,174.80336958,-36.9059545,Rockfield,,,Penrose,Auckland,Rockfield Road,"3/65 Rockfield Road, Penrose, Auckland"
POINT (174.8033828167 -36.9100356861),1160657,AIMS,1024713,34,State Avenue,"34 State Avenue, Onehunga, Auckland",Auckland,,,,,,34,,,,State,Avenue,,,,Onehunga,Auckland,Thoroughfare,Current,174.80338282,-36.91003565,State,,,Onehunga,Auckland,State Avenue,"34 State Avenue, Onehunga, Auckland"
POINT (174.8044462333 -36.9087192361),1160683,AIMS,1024739,36,Wallath Road,"36 Wallath Road, Onehunga, Auckland",Auckland,,,,,,36,,,,Wallath,Road,,,,Onehunga,Auckland,Thoroughfare,Current,174.80444623,-36.9087192,Wallath,,,Onehunga,Auckland,Wallath Road,"36 Wallath Road, Onehunga, Auckland"
POINT (174.79919255 -36.9142079528),1160939,AIMS,1024961,5,Bow Place,"5 Bow Place, Onehunga, Auckland",Auckland,,,,,,5,,,,Bow,Place,,,,Onehunga,Auckland,Thoroughfare,Current,174.79919255,-36.91420792,Bow,,,Onehunga,Auckland,Bow Place,"5 Bow Place, Onehunga, Auckland"
POINT (174.79733515 -36.9172756195),1161628,AIMS,1025481,51,Mays Road,"51 Mays Road, Onehunga, Auckland",Auckland,,,,,,51,,,,Mays,Road,,,,Onehunga,Auckland,Thoroughfare,Current,174.79733515,-36.91727558,Mays,,,Onehunga,Auckland,Mays Road,"51 Mays Road, Onehunga, Auckland"
POINT (174.8011105167 -36.9180061695),1161702,AIMS,1025545,88,Mays Road,"88 Mays Road, Onehunga, Auckland",Auckland,,,,,,88,,,,Mays,Road,,,,Onehunga,Auckland,Thoroughfare,Current,174.80111052,-36.91800613,Mays,,,Onehunga,Auckland,Mays Road,"88 Mays Road, Onehunga, Auckland"
POINT (174.8028466667 -36.9519685195),1161919,AIMS,1025733,5,Favona Road,"5 Favona Road, Favona, Auckland",Auckland,,,,,,5,,,,Favona,Road,,,,Favona,Auckland,Thoroughfare,Current,174.80284667,-36.95196848,Favona,,,Favona,Auckland,Favona Road,"5 Favona Road, Favona, Auckland"
